,Name,Movie_ID,Rating,Duration,Description,Release_Date,Total_Revenue
648,Wahid Saheeh,1053377,6.2,100 minutes,"Abdullah's mother tries to convince him to marry, but he has an affair with businesswoman Farida, while reporter Maryam seeks to marry him. His ex-girlfriend Nadine tries to get him back after...Read more",11 December,
649,Haddotah Mn Saaj,2003869,5.3,22 minutes,"A short film based on a true story of a troubled young girl named Mona Farkha, as she recounts to the screenwriter Omar Khaled and director Aida El Kashef her difficult life story leading up to her...Read more",1 January,
650,"Tahrir 2011: The Good, The Bad and The Politician",2005931,7.2,100 minutes,A documentary protraying 3 different perspectives of the egyptian revolution made by 3 different directors.,7 December,
651,million to Ethiopia,2004879,0,30 minutes,,1 January,
652,X Large,1242904,7.7,130 minutes,"Magdy is an overweight man who suffers from loneliness, in spite of having many friends who prefer talking to him about their problems, his obesity makes them not think of him as a husband. But when...Read more",2 November,
653,Me Or Him,1166163,4.3,89 minutes,"A comedy that revolves around a journalist who faces many problems because of his ""Schizophrenia"", as he tries hard to defeat the evil side of him.",1 September,
654,Dawlat Security,2006601,3.5,104 minutes,"Hossam is a state security officer whose new mission lands him in an unexpected situation. When he is assigned to protect the family of the UN ambassador Dawlat from Israeli threats, he finds himself...Read more",5 November,
655,Kafa alqamar,1033398,5.6,122 minutes,"Following the death of her husband, Amar is left to carry out her deceased husband’s dream of building a brick house with her five children. The five boys move to Cairo to earn some money, but they...Read more",2 November,
656,Bibo and Beshir,1090254,7.3,119 minutes,"Bashir is an Egyptian young man who lived a big part of his life in Africa, when he returns to Egypt, he starts a friendship with Bebo, then they discover that they share the same apartment.",30 August,
657,Ana Badea Ya Wadia,1840913,7,90 minutes,"When Tohamy Pasha, a producer, tries to find a way to evade taxes, his associate Wadi' comes up with an unusual idea: to produce a bad movie that the audience won't see.",30 August,
658,El- Haram Street,1056748,4.2,95 minutes,A dancer leaves a folklore troupe to work in a nightclub on El-Haram street. Three men get into a conflict over her. Which one will she choose?,30 August,
659,Tek Tek Boom,2005521,5.2,117 minutes,"Tika, the owner of a toy store, lives in a local area. When the Egyptian revolution of 2011 breaks out, he rallies the youth of his neighborhood to form a neighborhood watch to stand up to thugs.",30 August,
660,جرح سطحي,2006077,0,Released,,,
661,El Khoroug,1399339,5.7,100 minutes,"A raw depiction of life in modern-day Cairo about an ill-fated romance between a Coptic girl, Amal, and a Muslim youth named Tarek. Much like many other young men his age Tarek dreams of travelling...Read more",17 December,
662,Got a Minute?,1079361,3.8,9 minutes,The story revolves around the unemployment problem and how society has turned into a group of sellers without a single buyer. We find the protagonist being subjected to many harassments from sellers...Read more,1 January,
663,Eza'et Hobb,1537236,7.3,97 minutes,"A rom-com movie, that shows how people choose voluntarily to hide behind phony masks so as to cover their real personalities.",28 June,
664,Al-Markib,1279210,8.1,113 minutes,"A group of friends are spending a day out in the sea on a boat when unforeseen circumstances force them to stay longer than anticipated. While waiting to be rescued, each one of them reveals their...Read more",22 June,
665,Samy Carbon Oxide,1810634,5.6,110 minutes,"Jihan opposes the prevalent injustice and corruption that surrounds her. When she meets the pilot Samy, she is turned off by his self-centered view and careless attitude. But when love blossoms...Read more",8 June,
666,18 Youm,2003980,7.4,125 minutes,"A series of short films, each of them covering a different facet of the 18 days between the outbreak of the Egyptian revolution of 2011 and President Hosni Mubarak's decision to step down, whether...Read more",19 May,
667,Cry of An Ant,1445314,7,107 minutes,"Gouda suffers from tough living conditions as he lives in the slums. He is forced to work for one of the parliament’s deputies, who exploits him in his corruption. He implicates himself in several...Read more",2 June,
668,صعبة,2003875,0,Unreleased,,,
669,EUC,1205892,6.4,122 minutes,A group of youngsters establishes a private university after failing to get high grades in high school. They reveal through this university a lot of errors and constraints in the educational system in...Read more,30 March,
670,365 Days of Happiness,1068941,7,130 minutes,"A romantic comedy, about a playboy, Hady, who refuses to get married until he encounters a charming girl, Nesma, and falls for her.",26 January,
671,El Shoa',1289005,6.4,134 minutes,"In Alexandria, Fatma needs money for her youngest son's weekly kidney dialysis. She travels to Cairo to beg away from home, after she collects enough money she returns to discover her son's...Read more",5 January,
672,Fasel Wa Na‘oud,1098370,8.3,104 minutes,"A taxi driver, Araby (Karim Abdel Aziz) goes to battle with his father-in-law over the custody of his son after Araby is widowed. Though he wins custody, his son is kidnapped and Araby is attacked,...Read more",19 January,
673,Hello...Cairo,1899554,6.2,107 minutes,"A comedy that conveys a humane message about Egypt's place as the refuge for any Arab citizen that loses their way due to strenuous circumstances and how Egypt will always help the Arabs,...Read more",27 January,
674,The Elephant in a Handkerchief: Said Harakat,1522922,3.8,86 minutes,"The fruit vendor Saeed Harakat is assigned to a large national mission, after which he turns into a national hero. On the other hand, officer Ramy Waheed is in charge of discovering a nuclear reactor...Read more",16 June,
675,One One Four,1716943,5.8,pre-production,,,
676,Microphone,1140013,8.2,120 minutes,Khaled returns to Alexandria after being away in the US to work things out with his beloved and his father. But he finds his love is about to travel and his relationship with his father has reached a...Read more,26 January,
677,el tarab al sha3by,2011099,5.8,50 minutes,,,
678,علاقات خطرة,1127441,5,90 minutes,,,
679,The White Door,2009837,0,5 minutes,,,
680,أسود ملون,2009818,0,13 minutes,,,
681,A Guinea Pig,2018611,0,3 minutes,,,
682,zafeir,2008633,6,19 minutes,"Nothing is heard through that far away window, just the old couple's breaths, as they sit around calmly watching life as it goes by and doing nothing except their routine daily staff.",8 April,
683,A Guinea Pig,2018611,0,3 minutes,,,
684,عش الدبابير,2008656,0,Released,,,
685,my beautiful country,2017329,0,Released,,,
686,كاريكاتير الثورة,2028770,5.8,Released,,,
687,My Name is not Ali,2012331,0,92 minutes,,,
688,A Guinea Pig,2018611,0,3 minutes,,,
689,ترانزيت,1633762,0,in-production,,,
690,حكاية مصرية,2005011,4.7,Released,,,
691,zafeir,2008633,6,19 minutes,"Nothing is heard through that far away window, just the old couple's breaths, as they sit around calmly watching life as it goes by and doing nothing except their routine daily staff.",8 April,
692,أسود ملون,2009818,0,13 minutes,,,
693,41Day,2009868,0,20 minutes,,,
694,عيد الحب,2018380,0,Released,,,
695,41Day,2009868,0,20 minutes,,,
696,عش الدبابير,2008656,0,Released,,,
