,Name,Movie_ID,Rating,Duration,Description,Release_Date,Total_Revenue
361,Neaama,2040430,4.4,90 minutes,"Na'ma is a beautiful girl who lives in a local neighborhood. As some of her dangerous neighbors start to pursue her, her brother is forced to step in to protect her from their harassment....Read more",16 March,
362,Oshan 14,2037684,5,101 minutes,"As Ta’oun plots to rob the famous singer Ahlam, he recruits his fiancée and her brother to accompany him to Sharm El-Sheikh to carry out the heist. But he is unaware that he is being followed by the...Read more",20 January,
363,Khanet Al Yak,2040189,6.2,91 minutes,"Five young fellows wake up to find themselves in a deserted place. Failing to remember who they are or who/what got them there in the first place, they embark on a long journey to recapture memories...Read more",23 December,
364,Al-Thaman,2033032,5.3,98 minutes,"(Safwat) hires (Magdy) a hardworking cab driver to assassinate the novelist (Jalal Mahmoud) on the grounds that he is an atheist,which cause him to enter a cycle of confusion. At the same time, (Dima)...Read more",2 March,
365,El Bar El Tany,2037860,6.7,98 minutes,"A group of young men who live in a poverty-stricken village aspire to migrate to Italy seeking a better life. In their journey towards their dream life, they are faced with the treacherous waves of...Read more",19 November,
366,Amod Faqrey,2036554,3.7,91 minutes,"A man in his thirties goes through a lot of jobs as he attempts to gather enough money to marry his long-time fiancée. His various jobs put him through a lot of awkward, yet hilarious, situations.",26 October,
367,Hamlet Freezer,2042523,6.5,123 minutes,"When Egypt's climate changes , turning the country into a frozen state, a group of intelligence officers travel to Italy to get a device that can stop the frost, posing as a movie crew.",10 September,
368,Kalb Baladi,2042558,5.8,100 minutes,"A comedy movie about a thief who steals street dogs and sells them. Oddly he learned this profession from a female dog that breastfed him when he was a baby, which led him to acquire special powers.",8 September,
369,Yoam Lel Settat,1724389,5.1,111 minutes,"The news about opening a new swimming pool at a local community wins the excitement of women who come from different social backgrounds. At the pool, Laila starts seeking consolation for losing her...Read more",17 November,
370,الزومبي جوز أمي,2041306,0,pre-production,,,
371,Ali Meaza wa Ibrahim,2040324,6.5,97 minutes,"Ali is a man in his twenties who grows attached to a goat which earns him ridicule from everyone around him. When his mother forces him to go to a spiritual healer, he meets Ibrahim who suffers from...Read more",1 March,
372,باركينج,2042023,0,in-production,,,
373,Yoam Lel Settat,1724389,5.1,111 minutes,"The news about opening a new swimming pool at a local community wins the excitement of women who come from different social backgrounds. At the pool, Laila starts seeking consolation for losing her...Read more",17 November,
374,ليلة شتا,2041708,0,pre-production,,,
375,Monsieur Naguib's Wife,2033058,0,Released,,24 December,
376,The Chocolate Rascals,2056984,7.7,91 minutes,The Chocolate Rascals were looking for an evil genius to assist when they hear about a village where a villain called Sekena lives. Kimo remembers Sekena and that he was once in love with her when...Read more,8 July,
377,Drifters,2051804,5.3,46 minutes,,,
378,Les Petits Chats,2046596,0,80 minutes,The film follows the history of the Egyptian rock band Les Petits Chants that emerged to the world of music in the 1960s as Wagdi Francis founded it. The film includes interviews with the band members...Read more,16 October,
379,Qabl Zahmet Elsaif,2034286,5.9,90 minutes,"In a tourist resort on the northern coast, Dr. Yahya decides to spend the holiday with his wife Magda before the coast gets crowded . The two are introduced to a recently divorced translator and a...Read more",19 November,
380,Qabl Zahmet Elsaif,2034286,5.9,90 minutes,"In a tourist resort on the northern coast, Dr. Yahya decides to spend the holiday with his wife Magda before the coast gets crowded . The two are introduced to a recently divorced translator and a...Read more",19 November,
381,We Have Never Been Kids,2041442,0,104 minutes,,1 December,
382,The Mischievous Fathalla Mahrous,2042435,0,52 minutes,,1 January,
383,Selah Al-Talamiz,2041968,3.1,97 minutes,"A comedic exploration of the issue of education in our schools and the various situations that both students and teachers find themselves in, through the story of Usha and his little friends and what...Read more",27 January,
384,Bra Fi El Sharee,2041761,5.8,72 minutes,"Working-class suburb Helwan, where ten factory workers enrol in an acting workshop and re-enact lived-through cases of injustice in the workplace, police violence, fabricated lawsuits and countless...Read more",26 March,
385,Hijab,2041445,0,78 minutes,,17 December,
386,Al-Mon'ataf,2041419,0,81 minutes,"A Jordanian man with Palestinian roots suffers from mental issues that cause him to avoid all kinds of social interaction. He lives in a small truck designed by himself, and on his journey meets three...Read more",16 November,
387,Paparazzi,2037433,5.2,110 minutes,"When an Egyptian young woman travels to Lebanon, she faces lots of trouble throughout her journey, until a Lebanese man offers help. Their relationship develops into a deeper connection.",16 December,
388,Fi Youm,2041105,0,63 minutes,"A story about the lives of six people that show how they lost hope, dignity and their sense of security as they struggle for a good life, exploring the hurdles standing in their way.",13 November,
389,Hedeya Men El Madei (20 September),2041004,5.9,78 minutes,"On his 75th birthday, Dr. Mokhtar Younis receives a wondrous present from his young daughter who is also a film student; two plane tickets to Rome so he could find his long-lost love, Patricia, to...Read more",30 November,
390,Al-Katiba 418,2037742,5.8,76 minutes,"A look into the Arab-Israeli conflict from the Six-Day War, through the War of Attrition, to the October War, displaying the heroics of the Egyptian air forces, especially the 418 battalion, in facing...Read more",8 October,
391,The Fourth Generation,2040327,6.7,110 minutes,"Four friends find themselves in an unexpected dilemma after one of them falls for their principal's daughter. They find themselves on the run from a drug gang, a terrorist organization, and the...Read more",23 September,
392,Eyal Herryfa,2035453,2.1,105 minutes,"Seba'y is an unsuccessful football coach in the Dokki Sports Club. As he tries to marry his sweetheart Osha, his final chance to prove himself to her father lies in coaching the women's...Read more",23 September,
393,Men Dahr Ragel,2027650,7.1,145 minutes,"An aspiring boxer Adham is thriving to become a successful professional. He falls in love with a girl, Mai, living in a slum, who suffers from her thug brother's possessive personality. Adham and...Read more",6 January,
394,Ahwak,2039425,6.9,120 minutes,"The film tells the story of Dr. Sherif (Tamer Hosny) who works as a plastic surgeon. During his work, he gets to know a young lady whom he falls in love with her. But when he got introduced to her...Read more",20 September,
395,Almorsy Abo Elabaas,2036604,6.4,100 minutes,"During his search for his identity, a guy who thinks that he is a descendant of the renowned pious man Al-Mursi Abu Al-Abbas, discovers that he is originally from Morocco. As he travels to learn about...Read more",7 September,
396,Sa3yokom Mashkoor Ya Bro,2036535,3.5,95 minutes,"When a family reunites after the death of one of its members, a series of misunderstandings and mistakes sends the family into many comedic paradoxes.",9 September,
397,Al-Leila Al-Kebira,1609015,5.6,123 minutes,"Spanning one day, the film takes place in a “Muled” (An Islamic saint's day celebration), following the curious and intertwined stories of a variety of different characters living nearby, working...Read more",2 December,
398,Sukkar Mor,2030800,7.1,120 minutes,"The film follows the stories of five men and women connected together by romantic relationships, and how they get influenced by the social transformations of the past few years. Some persons change...Read more",16 July,
399,El Khalbous,2033526,4.7,113 minutes,A romantic comedy about a playboy who gets in serious trouble with four different girls when they discover that he is seeing them all at the same time over the course of his journey to find his dream...Read more,29 July,
400,Shadd Agzaa',2035757,6.6,94 minutes,"When his wife Aya is killed, Officer Omar vows revenge on the gang that killed her which brings him in conflict with his superiors and he ends up a fugitive from the law.",16 July,
401,Noum Eltalat,2039299,4.4,96 minutes,"Mo'taz has a rare condition that causes him to forget anything that happens on Tuesdays. When important documents are stolen from the Real Estate Registry Office where he works, his sweetheart,...Read more",16 July,
402,Welad Rizk,2027294,7.7,100 minutes,"Four brothers make a pact to abandon their life of crime one day. When a failed operation brings back old feuds, their older brother, Rezk, leaves them to work in the family's workshop. His...Read more",16 July,
403,Hayaty Mebahdela,2036620,5.4,98 minutes,"Tattah’s one unlucky mall guard whose life gets even more complicated after running over a cat and getting cursed for it; he also affects Faten,the woman he secretly loves with the same curse, making...Read more",16 July,
404,Harah Maznua'a,2030431,3.7,95 minutes,Haidy is a criminal who gets three young and poor men involved in illegal activities and exploits them. Will she manage to deceive them till the end? Are they going to believe Haidy?,12 August,
405,Star of David,2037288,6.1,56 minutes,"In the wake of an accident that took the lives of her parents, Sarah decides to leave the country. When she returns, she is in for many surprises when the symbol of the star of David keeps appearing...Read more",5 May,
406,Karam El-King,2036881,5.2,86 minutes,"The rise of Karam El-King(Mahmoud Abdelmoghni)
, starting form Cairo slums, owning an electrical appliance shop, to becoming a major drug dealer. Ironically, he’s chased out by the police who accuse...Read more",15 April,
407,And on a Different Note,2036938,0,24 minutes,,1 January,
408,Gomhureyet Imbaba,2034299,4,90 minutes,"The film follows a group of characters living on the edge of society after the 25th of January revolution inside a local neighborhood, including a microbus driver and an opportunist girl.",10 April,
409,Fazza',2036270,4.7,100 minutes,"After living his whole life in Mazarita, Fazza' finally decides to turn his life around once and for all. He moves to Cairo to experience city life, to which he is unaccustomed, and goes through...Read more",8 April,
410,Tesaaa,2030475,5.4,119 minutes,"Nine people with mutual history meet in one place, which eventually reveals a lot of dark secrets that were hidden for too long. The host decides to get rid of them as they were fugitives from...Read more",8 April,
411,Zana'et Settat,2035332,5.7,110 minutes,"Ali Munir Al-Jahsh is a wealthy young man who picks 
up women who visit his father's psychiatric clinic. They both have a bet, where Ali must help a patient recover from his complex with women by...Read more",1 April,
412,Bard alshatta,2035123,6,98 minutes,"The journey of Resident doctor (Ramez Amir) in his first night shift at Kasr Eleni hospital, on a cold winter night, and the negatives and positives he encounters because of the lack of resources,...Read more",1 January,
413,Eldonia Maa'louba,2030297,3.7,85 minutes,The film is set in a parallel reality where The United States are a developing country and Egypt is a major world force. An American man (Bassem Samra) tries in every way possible to immigrate to...Read more,25 February,
414,Khareg Al-Khedma,2036064,6.4,99 minutes,"A peculiar relationship ensues between two opposites: Sa'eid who leads a miserable life close to that of the homeless, and Sherine who lives alone and does nothing but watch and reflect.",25 February,
415,Soua' Tafahom,2034735,5.7,120 minutes,"Omar is trying to reclaim the inheritance of his father from his uncle. He uses his colleague Rauof, who turns out to be a crook and then flees to Lebanon and Omar goes to jail. Lina the Lebanese...Read more",11 February,
416,Captain Masr,2035103,6.5,91 minutes,"Football player Kamal Naguib nicknamed (Congo) became the most prominent football player in Egypt, but when he runs over a police officer by mistake, he's sentenced to 3 years , he decides to form...Read more",8 April,
417,Captain Masr,2035103,6.5,91 minutes,"Football player Kamal Naguib nicknamed (Congo) became the most prominent football player in Egypt, but when he runs over a police officer by mistake, he's sentenced to 3 years , he decides to form...Read more",8 April,
418,Caeserion (The Last Pharaoh),2035825,0,pre-production,,,
419,Haz West Al-Balad,1077548,4,112 minutes,"Set in the span of eight hours in the region of downtown Cairo, exploring the variety of characters present in the busy area, and several problems they face in their daily lives, in addition to the...Read more",25 January,
420,Aswar El Amar,1010347,7,120 minutes,"After re-gaining her consciousness, Zeina is stupefied to find that she got blind and has lost her memory. She finds herself aboard a boat with Ahmed who gets involved in a serious boat chase with...Read more",24 January,
421,Khetta Badila,2032248,7.1,100 minutes,"Lawyer Adel Abdel Aziz faces a terrible event that turns his life upside down as a result of his honor and dignity. Accordingly, he decides to adopt a surrogate plan, taking matters into his own hands...Read more",4 February,
422,Yom Malosh Lazma,2034384,6.5,100 minutes,"It's the wedding day of Yehia (Mohamed Heneidy) and Maha (Reham Hajjaj), but as soon as the day begins the two of them get into an endless series of difficult situations. To make matters worse,...Read more",22 January,
423,Regata,2034041,5,100 minutes,"Regatta (Amr Saad) is engaged in several illegal activities with businessman Sari (Mahmoud Hamida). Regatta gets a quarter of a million pounds in one operation, which will allow him to travel with his...Read more",21 January,
424,Ott we Far,2032817,7.4,95 minutes,"Hamada gets involved in a furious conflict with the minister of interior affairs with all the power he has, as he searches for his mother, who does simple daily jobs to provide for her family. Through...Read more",21 January,
425,Betawqit Elqahera,2032873,6.4,110 minutes,"Three stories take place over the course of a single day in Cairo. Lila, a retired actress, is looking for Sameh, her last co-star. Salma, is dating Wael and is in Wael’s friend’s apartment. Hazem is...Read more",14 January,
426,El Ott,2030742,5.3,92 minutes,"When Al-Ott learns that a group of his neighborhood's children was kidnapped as a part of an organ-trafficking scheme, he kills one of Master Fathy's men and rescues the lone survivor. He and...Read more",15 November,
427,4 Cotshina,2032499,2.1,95 minutes,"The film follows the story of three boys and a girl whose friendship survived Mai's departure from the country at the age of 5. When she returns, she reunites with her friends and helps them to...Read more",23 September,
428,Planet Shegof,2032525,0,pre-production,,,
429,Suicidal Notions,2032459,0,89 minutes,"Three days before her departure to Australia, Marwa's mother passes away, and she discovers her mother's wish to be buried elsewhere. As she struggles to get everything done before she leaves,...Read more",17 November,
430,Ana Masry,2011518,0,Unreleased,A biopic about Egyptian discus throw Olympic champion Omar Elghazaly.,13 May,
431,مش وش نعمة,2036950,0,pre-production,,,
432,The Ka and Ba,2036403,0,12 minutes,,,
433,Half Dozen of Girls,2034715,0,pre-production,,,
434,عزبة أبو حشيش,2036658,5,Released,,,
435,أبناء إبليس,2040967,0,Unreleased,,,
436,Half Dozen of Girls,2034715,0,pre-production,,,
437,The Ka and Ba,2036403,0,12 minutes,,,
438,مش وش نعمة,2036950,0,pre-production,,,
439,عزبة أبو حشيش,2036658,5,Released,,,
440,أبناء إبليس,2040967,0,Unreleased,,,
441,Jesus was here,2046701,0,76 minutes,,,
